variant,resolution,threads,time_s,speedup,efficiency
render_only,512x512,1,0.693903,1.0000,1.0000
render_only,512x512,2,0.367901,1.8861,0.9431
render_only,512x512,4,0.248842,2.7885,0.6971
render_only,512x512,8,0.193900,3.5787,0.4473
render_only,1024x1024,1,2.637829,1.0000,1.0000
render_only,1024x1024,2,1.515098,1.7410,0.8705
render_only,1024x1024,4,1.008142,2.6165,0.6541
render_only,1024x1024,8,1.133247,2.3277,0.2910
total,512x512,1,0.722266,1.0000,1.0000
total,512x512,2,0.401448,1.7992,0.8996
total,512x512,4,0.283025,2.5520,0.6380
total,512x512,8,0.232497,3.1066,0.3883
total,1024x1024,1,2.764040,1.0000,1.0000
total,1024x1024,2,1.639152,1.6863,0.8431
total,1024x1024,4,1.149849,2.4038,0.6010
total,1024x1024,8,1.345744,2.0539,0.2567
